# WMO OSCAR/Space 对地观测仪器目录
# 来源: https://space.oscar.wmo.int/api/v1/instruments（42 页）
# 文档: https://space.oscar.wmo.int/apidoc/
# 许可: 可自由使用与再分发，须致谢 WMO；WMO 不对准确性作担保
# 署名: WMO OSCAR/Space, https://space.oscar.wmo.int/
# 生成: python scripts/fetch_oscar_instruments.py   —— 请勿手工编辑
#
# 每行 10 列，制表符分隔: oscar_id	slug	acronym	fullname	agency	instrument_type	classification	wigos_subcomponent	satellite_count	variables
68	bbr	BBR	Broad-Band Radiometer	ESA	Broad band radiometer	Earth observation instrument|Passive optical radiometer or spectrometer|Broadband Earth radiation radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['Broadband radiometer (for ERB)']}}}}	1	None|None
69	blackjack_champ	BlackJack (CHAMP)	BlackJack GPS Receiver	NASA	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}}	1	None|None|None|None|None|None|None|None
70	blackjack_grace	BlackJack (GRACE)	BlackJack GPS Receiver	NASA	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}}	2	None|None|None|None|None|None|None|None
71	tri_g_grace_fo	Tri-G (GRACE-FO)	Triple G (GPS, Galileo, GLONASS)	NASA	GNSS radio-occultation sounder	Earth observation instrument|Active and radio-occultation sensor|GNSS radio-occultation	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'19': {'name': 'GNSS radio occultation (basic constellation) ', 'wigos-filters': ['GNSS radio occultation sounder (basic constellation)']}}}}	3	None|None|None|None|None|None|None|None
72	buv	BUV	Backscatter Ultraviolet Spectrometer	NASA	Cross-nadir scanning SW sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir shortwave (UV/VIS) sounder	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'15': {'name': 'UV/VIS/NIR sounders, nadir and limb', 'wigos-filters': ['UV/VIS/NIR nadir sounder']}}}}	1	
73	caliop	CALIOP	Cloud-Aerosol Lidar with Orthogonal Polarisation	NASA	Space lidar	Earth observation instrument|Active and radio-occultation sensor|Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'30': {'name': 'Lidar (Doppler and dual/triple-frequency backscatter)', 'wigos-filters': ['Lidar (Backscatter - for atmosphere) ']}}}}	1	
75	cc	CC	Cloud Camera	NASA	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	[]	1	
76	ccd	CCD	Charge Coupled Device Camera	ISRO	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	[]	2	
78	ceres	CERES	Clouds and the Earth’s Radiant Energy System	NASA	Broad band radiometer	Earth observation instrument|Passive optical radiometer or spectrometer|Broadband Earth radiation radiometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'18': {'name': 'Absolutely calibrated broadband radiometers, and TSI and SSI radiometers', 'wigos-filters': ['Broadband radiometer (for ERB)']}}}}	0	None|None
82	chris	CHRIS	Compact High Resolution Imaging Spectrometer	UKSA	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'20': {'name': 'Narrow-band or hyperspectral imagers', 'wigos-filters': ['Hyperspectral imager (for vegetation)']}}}}	1	
83	claes	CLAES	Cryogenic Limb Array Etalon Spectrometer	NASA	Limb sounder	Earth observation instrument|Limb sounders|Limb sounder	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'39': {'name': 'UV/VIS/NIR/IR/MW limb sounders', 'wigos-filters': ['UV/VIS/NIR/IR/MW scanning limb sounder']}}}}	1	
84	cmt	CMT	China Mapping Telescope	NRSCC	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	[]	1	None|None|None|None|None|None|None|None
85	co_sensor	CO sensor	Carbon oxide sensor	NASA	Cross-nadir infrared sounder	Earth observation instrument|Passive optical radiometer or spectrometer|Cross-nadir infrared sounder, possibly including VIS channels	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'35': {'name': 'NIR/SWIR imaging spectroscopy', 'wigos-filters': ['NIR/SWIR imaging spectrometer']}}}}	1	None|None|None
86	co2_lidar	CO2 lidar	Carbon dioxide lidar	NASA	Space lidar	Earth observation instrument|Active and radio-occultation sensor|Lidar (Doppler lidar, backscatter lidar, lidar Dial, lidar altimeter)	{'Subcomponent 2': {'name': 'Subcomponent 2', 'wigos-classification': {'32': {'name': 'Lidar (single wavelength) (in addition to radar missions mentioned in Component 1)', 'wigos-filters': ['Lidar (Altimeter - for surface)']}}}}	1	None
87	coban	COBAN	Multiband Camera	TÜBITAK-BILTEN	High-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|High resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'21': {'name': 'High-resolution multi-spectral VIS/IR imagers', 'wigos-filters': ['High-resolution multi-spectral VIS/IR imager']}}}}	1	None|None|None|None|None|None|None|None
88	cocts	COCTS	China Ocean Colour & Temperature Scanner	NSOAS	Moderate-resolution optical imager	Earth observation instrument|Passive optical radiometer or spectrometer|Moderate resolution optical imager	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'20': {'name': 'Narrow-band or hyperspectral imagers', 'wigos-filters': ['Narrow-band imager (for ocean colour)']}}}}	0	
89	cosi	COSI	Corea SAR Instrument	KARI	Imaging radar (SAR)	Earth observation instrument|Active and radio-occultation sensor|Imaging radar (SAR)	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'22': {'name': 'SAR imagers and altimeters', 'wigos-filters': ['SAR imager']}}}}	2	
90	cpd	CPD	Charged Particle Detector	DNSC	Energetic particle spectrometer	Solar and space environment monitors|Energetic particle spectrometer	{'Subcomponent 1': {'name': 'Subcomponent 1', 'wigos-classification': {'26': {'name': 'In-situ plasma probes, and energetic particle spectrometers and magnetometers at GEO and LEO, and magnetic field at GEO', 'wigos-filters': ['Electron sensor at LEO', 'Proton sensor at LEO', 'Alpha-particle sensor at LEO']}}}}	1	None|None|None
