# GeoNames 一级行政区（admin1）参考表
# 来源: https://download.geonames.org/export/dump/admin1CodesASCII.txt（配合 countryInfo.txt 做 ISO2→ISO3 映射）
# 许可: Creative Commons Attribution 4.0 (CC BY 4.0)
# 署名: GeoNames, https://www.geonames.org/
# 生成: python scripts/fetch_geonames_admin1.py    —— 请勿手工编辑
#
# 每行 5 列，制表符分隔: iso3	geonames_code	name	asciiname	geonameid
# geonames_code 形如 KE.01；geonameid 全局唯一，实体 id 以它为准
# 未匹配到 UN M49 国家表而跳过的 ISO2: XK=7
AZE	AZ.23	Hacıqabul	Haciqabul	828315
AZE	AZ.25	Ismayilli District	Ismayilli District	586320
AZE	AZ.14	Jabrayil	Jabrayil	148140
AZE	AZ.15	Jalilabad	Jalilabad	148155
AZE	AZ.26	Kalbajar	Kalbajar	586047
AZE	AZ.64	Khojaly	Khojaly	148449
AZE	AZ.65	Khojavend	Khojavend	409423
AZE	AZ.27	Kurdamir District	Kurdamir District	585686
AZE	AZ.28	Lachin Rayon	Lachin Rayon	147626
AZE	AZ.30	Lankaran Sahari	Lankaran Sahari	409418
AZE	AZ.31	Lerik District	Lerik District	147610
AZE	AZ.29	Lənkəran	Lankaran	147613
AZE	AZ.32	Masally	Masally	147551
AZE	AZ.33	Mingacevir City	Mingacevir City	828299
AZE	AZ.34	Naftalan	Naftalan	828300
AZE	AZ.35	Nakhchivan	Nakhchivan	147435
AZE	AZ.36	Neftçala	Neftcala	147422
AZE	AZ.37	Oğuz	Oguz	584742
AZE	AZ.38	Qabala District	Qabala District	585738
AZE	AZ.39	Qax	Qax	586290
AZE	AZ.40	Qazax	Qazax	586087
AZE	AZ.41	Qobustan	Qobustan	828301
AZE	AZ.42	Quba	Quba	585786
AZE	AZ.43	Qubadlı	Qubadli	147694
AZE	AZ.44	Qusar District	Qusar District	585749
AZE	AZ.45	Saatlı	Saatli	147287
AZE	AZ.46	Sabirabad District	Sabirabad District	147284
AZE	AZ.49	Salyan District	Salyan District	147269
AZE	AZ.52	Samux	Samux	828302
AZE	AZ.17	Shabran	Shabran	586725
AZE	AZ.47	Shaki	Shaki	585031
AZE	AZ.48	Shaki City	Shaki City	828303
AZE	AZ.07	Shirvan	Shirvan	409417
AZE	AZ.55	Shusha	Shusha	147163
AZE	AZ.56	Shusha City	Shusha City	409419
AZE	AZ.53	Siyǝzǝn	Siazan Rayon	828304
AZE	AZ.54	Sumqayit	Sumqayit	828305
AZE	AZ.57	Tartar District	Tartar District	409420
AZE	AZ.58	Tovuz District	Tovuz District	584861
AZE	AZ.59	Ucar	Ucar	584783
AZE	AZ.61	Xankǝndi	Xankandi Sahari	409421
AZE	AZ.60	Xaçmaz	Xacmaz	586001
AZE	AZ.63	Xızı	Xizi	828306
AZE	AZ.66	Yardimli District	Yardimli District	146962
AZE	AZ.67	Yevlax	Yevlax	584650
AZE	AZ.68	Yevlax City	Yevlax City	828307
AZE	AZ.69	Zangilan District	Zangilan District	146900
AZE	AZ.70	Zaqatala District	Zaqatala District	584604
AZE	AZ.71	Zardab	Zardab	584583
AZE	AZ.24	İmişli	Imisli	147983
AZE	AZ.50	Şamaxı	Samaxi	585030
AZE	AZ.51	Şǝmkir	Shamkir Rayon	585059
BDI	BI.09	Bubanza	Bubanza	428514
BDI	BI.24	Bujumbura Mairie	Bujumbura Mairie	7303939
BDI	BI.25	Bujumbura Rural	Bujumbura Rural	7303940
BDI	BI.10	Bururi	Bururi	423327
BDI	BI.11	Cankuzo	Cankuzo	427700
BDI	BI.12	Cibitoke	Cibitoke	430020
BDI	BI.13	Gitega	Gitega	426271
BDI	BI.15	Kayanza	Kayanza	430951
BDI	BI.16	Kirundo	Kirundo	432455
BDI	BI.17	Makamba	Makamba	422233
BDI	BI.22	Muramvya	Muramvya	425550
BDI	BI.18	Muyinga	Muyinga	431747
BDI	BI.19	Ngozi	Ngozi	430567
BDI	BI.26	Rumonge	Rumonge	11184798
BDI	BI.20	Rutana	Rutana	434147
BDI	BI.21	Ruyigi	Ruyigi	426699
BEL	BE.BRU	Brussels Capital	Brussels Capital	2800867
BEL	BE.VLG	Flanders	Flanders	3337388
BEL	BE.WAL	Wallonia	Wallonia	3337387
BEN	BJ.07	Alibori	Alibori	2597271
BEN	BJ.08	Atakora	Atakora	2395524
BEN	BJ.09	Atlantique	Atlantique	2395504
BEN	BJ.10	Borgou	Borgou	2394992
BEN	BJ.11	Collines	Collines	2597272
BEN	BJ.13	Donga	Donga	2597274
BEN	BJ.12	Kouffo	Kouffo	2597273
BEN	BJ.14	Littoral	Littoral	2597275
BEN	BJ.15	Mono	Mono	2392716
BEN	BJ.16	Ouémé	Oueme	2392325
BEN	BJ.17	Plateau	Plateau	2597277
BEN	BJ.18	Zou	Zou	2390719
BES	BQ.BO	Bonaire	Bonaire	7609816
BES	BQ.SB	Saba	Saba	7610358
BES	BQ.SE	Sint Eustatius	Sint Eustatius	7610359
BFA	BF.01	Boucle du Mouhoun	Boucle du Mouhoun	6930701
BFA	BF.02	Cascades Region	Cascades Region	6930703
BFA	BF.03	Centre	Centre	6930704
BFA	BF.04	Centre-Est	Centre-Est	6930705
BFA	BF.05	Centre-Nord	Centre-Nord	6930706
BFA	BF.06	Centre-Ouest	Centre-Ouest	6930707
BFA	BF.07	Centre-Sud	Centre-Sud	6930708
BFA	BF.08	Est	Est	6930709
BFA	BF.09	Hauts-Bassins	Hauts-Bassins	6930710
BFA	BF.10	Nord	Nord	6930711
BFA	BF.11	Plateau-Central	Plateau-Central	6930712
BFA	BF.12	Sahel	Sahel	6930713
BFA	BF.13	Sud-Ouest	Sud-Ouest	6930714
BGD	BD.85	Barisal Division	Barisal Division	1337229
BGD	BD.84	Chittagong	Chittagong	1337200
BGD	BD.81	Dhaka Division	Dhaka Division	1337179
BGD	BD.82	Khulna Division	Khulna Division	1337210
BGD	BD.H	Mymensingh Division	Mymensingh Division	11287936
BGD	BD.83	Rajshahi Division	Rajshahi Division	1337166
BGD	BD.87	Rangpur Division	Rangpur Division	7671048
BGD	BD.86	Sylhet Division	Sylhet Division	1477362
BGR	BG.38	Blagoevgrad	Blagoevgrad	733192
BGR	BG.39	Burgas	Burgas	732771
BGR	BG.40	Dobrich	Dobrich	726419
BGR	BG.41	Gabrovo	Gabrovo	864552
BGR	BG.43	Haskovo	Haskovo	730436
BGR	BG.44	Kardzhali	Kardzhali	864553
BGR	BG.45	Kyustendil	Kyustendil	864554
BGR	BG.46	Lovech	Lovech	729560
BGR	BG.47	Montana	Montana	453753
BGR	BG.48	Pazardzhik	Pazardzhik	728379
BGR	BG.49	Pernik	Pernik	728331
BGR	BG.50	Pleven	Pleven	728204
BGR	BG.51	Plovdiv	Plovdiv	728194
BGR	BG.52	Razgrad	Razgrad	453751
BGR	BG.53	Ruse	Ruse	727524
BGR	BG.54	Shumen	Shumen	864555
BGR	BG.55	Silistra	Silistra	864556
BGR	BG.56	Sliven	Sliven	864557
BGR	BG.57	Smolyan	Smolyan	864558
BGR	BG.58	Sofia	Sofia	727012
BGR	BG.42	Sofia-Capital	Sofia-Capital	731061
BGR	BG.59	Stara Zagora	Stara Zagora	864559
BGR	BG.60	Targovishte	Targovishte	864560
BGR	BG.61	Varna	Varna	726051
BGR	BG.62	Veliko Tarnovo	Veliko Tarnovo	864561
BGR	BG.63	Vidin	Vidin	864562
BGR	BG.64	Vratsa	Vratsa	725713
BGR	BG.65	Yambol	Yambol	864563
BHR	BH.16	Manama	Manama	7090954
BHR	BH.15	Muharraq	Muharraq	290333
BHR	BH.19	Northern	Northern	7090974
BHR	BH.17	Southern Governorate	Southern Governorate	7090972
BHS	BS.24	Acklins	Acklins	3572937
BHS	BS.32	Berry Islands	Berry Islands	3571809
BHS	BS.05	Bimini	Bimini	3572807
BHS	BS.36	Black Point	Black Point	8030541
BHS	BS.06	Cat Island	Cat Island	3572678
BHS	BS.37	Central Abaco	Central Abaco	8030542
BHS	BS.38	Central Andros	Central Andros	8030543
BHS	BS.39	Central Eleuthera	Central Eleuthera	8030544
BHS	BS.40	Crooked Island and Long Cay	Crooked Island and Long Cay	8030545
BHS	BS.41	East Grand Bahama	East Grand Bahama	8030546
BHS	BS.10	Exuma	Exuma	3572427
BHS	BS.25	Freeport	Freeport	3572374
BHS	BS.42	Grand Cay	Grand Cay	8030547
BHS	BS.22	Harbour Island	Harbour Island	3572238
BHS	BS.43	Hope Town	Hope Town	8030548
BHS	BS.13	Inagua	Inagua	3572154
BHS	BS.15	Long Island	Long Island	3572005
BHS	BS.44	Mangrove Cay	Mangrove Cay	8030549
BHS	BS.16	Mayaguana	Mayaguana	3571894
BHS	BS.45	Moore’s Island	Moore's Island	8030550
BHS	BS.23	New Providence	New Providence	3571815
BHS	BS.46	North Abaco	North Abaco	8030551
BHS	BS.47	North Andros	North Andros	8030552
BHS	BS.48	North Eleuthera	North Eleuthera	8030553
BHS	BS.18	Ragged Island	Ragged Island	3571629
BHS	BS.49	Rum Cay	Rum Cay	8030554
BHS	BS.35	San Salvador	San Salvador	3571493
BHS	BS.50	South Abaco	South Abaco	8030555
BHS	BS.51	South Andros	South Andros	8030556
BHS	BS.52	South Eleuthera	South Eleuthera	8030557
BHS	BS.53	Spanish Wells	Spanish Wells	8030558
BHS	BS.54	West Grand Bahama	West Grand Bahama	8030559
BIH	BA.BRC	Brčko	Brcko	3294903
BIH	BA.01	Federation of B&H	Federation of B&H	3229999
BIH	BA.02	Srpska	Srpska	3230000
BLR	BY.01	Brest	Brest	629631
BLR	BY.03	Grodnenskaya	Grodnenskaya	628035
BLR	BY.02	Homyel’ Voblasc’	Homyel' Voblasc'	628281
BLR	BY.05	Minsk	Minsk	625142
BLR	BY.04	Minsk City	Minsk City	625143
BLR	BY.06	Mogilev	Mogilev	625073
BLR	BY.07	Vitebsk	Vitebsk	620134
BLZ	BZ.01	Belize District	Belize District	3582676
BLZ	BZ.02	Cayo District	Cayo District	3582429
BLZ	BZ.03	Corozal District	Corozal District	3582302
BLZ	BZ.04	Orange Walk District	Orange Walk District	3581511
BLZ	BZ.05	Southern District	Southern District	3580975
BLZ	BZ.06	Toledo District	Toledo District	3580913
BMU	BM.01	Devonshire	Devonshire	3573251
BMU	BM.02	Hamilton	Hamilton	3573195
BMU	BM.03	Hamilton city	Hamilton city	3573198
BMU	BM.04	Paget	Paget	3573103
BMU	BM.05	Pembroke	Pembroke	3573095
BMU	BM.06	Saint George	Saint George	3573062
BMU	BM.07	Saint Georgeʼs	Saint George's Parish	3573057
BMU	BM.08	Sandys	Sandys	3573050
BMU	BM.09	Smithʼs	Smith's Parish	3573031
BMU	BM.10	Southampton	Southampton	3573026
BMU	BM.11	Warwick	Warwick	3572972
BOL	BO.03	Beni Department	Beni Department	3923172
BOL	BO.01	Chuquisaca Department	Chuquisaca Department	3920177
BOL	BO.02	Cochabamba	Cochabamba	3919966
BOL	BO.04	La Paz Department	La Paz Department	3911924
BOL	BO.05	Oruro	Oruro	3909233
BOL	BO.06	Pando	Pando	3908600
BOL	BO.07	Potosí Department	Potosi Department	3907580
BOL	BO.08	Santa Cruz Department	Santa Cruz Department	3904907
BOL	BO.09	Tarija Department	Tarija Department	3903319
BRA	BR.01	Acre	Acre	3665474
BRA	BR.02	Alagoas	Alagoas	3408096
BRA	BR.03	Amapá	Amapa	3407762
BRA	BR.04	Amazonas	Amazonas	3665361
BRA	BR.05	Bahia	Bahia	3471168
BRA	BR.06	Ceará	Ceara	3402362
BRA	BR.08	Espírito Santo	Espirito Santo	3463930
BRA	BR.07	Federal District	Federal District	3463504
BRA	BR.29	Goiás	Goias	3462372
BRA	BR.13	Maranhão	Maranhao	3395443
BRA	BR.14	Mato Grosso	Mato Grosso	3457419
BRA	BR.11	Mato Grosso do Sul	Mato Grosso do Sul	3457415
BRA	BR.15	Minas Gerais	Minas Gerais	3457153
BRA	BR.18	Paraná	Parana	3455077
BRA	BR.17	Paraíba	Paraiba	3393098
BRA	BR.16	Pará	Para	3393129
BRA	BR.30	Pernambuco	Pernambuco	3392268
BRA	BR.20	Piauí	Piaui	3392213
BRA	BR.22	Rio Grande do Norte	Rio Grande do Norte	3390290
BRA	BR.23	Rio Grande do Sul	Rio Grande do Sul	3451133
BRA	BR.21	Rio de Janeiro	Rio de Janeiro	3451189
BRA	BR.24	Rondônia	Rondonia	3924825
BRA	BR.25	Roraima	Roraima	3662560
BRA	BR.26	Santa Catarina	Santa Catarina	3450387
BRA	BR.28	Sergipe	Sergipe	3447799
BRA	BR.27	São Paulo	Sao Paulo	3448433
BRA	BR.31	Tocantins	Tocantins	3474575
BRB	BB.01	Christ Church	Christ Church	3373988
BRB	BB.02	Saint Andrew	Saint Andrew	3373580
BRB	BB.03	Saint George	Saint George	3373572
BRB	BB.04	Saint James	Saint James	3373570
BRB	BB.05	Saint John	Saint John	3373569
BRB	BB.06	Saint Joseph	Saint Joseph	3373568
BRB	BB.07	Saint Lucy	Saint Lucy	3373565
BRB	BB.08	Saint Michael	Saint Michael	3373557
BRB	BB.09	Saint Peter	Saint Peter	3373554
BRB	BB.10	Saint Philip	Saint Philip	3373553
BRB	BB.11	Saint Thomas	Saint Thomas	3373551
BRN	BN.01	Belait	Belait	1820869
BRN	BN.02	Brunei-Muara District	Brunei-Muara District	1820818
BRN	BN.03	Temburong	Temburong	1820106
BRN	BN.04	Tutong	Tutong	1820068
BTN	BT.05	Bumthang District	Bumthang District	1337278
BTN	BT.06	Chukha	Chukha	1337279
BTN	BT.08	Dagana	Dagana	1337280
BTN	BT.23	Gasa	Gasa	7303651
BTN	BT.10	Haa	Haa	1337283
BTN	BT.11	Lhuntse	Lhuntse	1337284
BTN	BT.12	Mongar	Mongar	1337285
BTN	BT.13	Paro	Paro	1337286
BTN	BT.14	Pemagatshel	Pemagatshel	1337287
BTN	BT.15	Punakha	Punakha	1337288
BTN	BT.17	Samdrup Jongkhar	Samdrup Jongkhar	1337290
BTN	BT.16	Samtse District	Samtse District	1337289
BTN	BT.09	Sarpang District	Sarpang District	1337282
BTN	BT.20	Thimphu District	Thimphu District	1337293
BTN	BT.21	Tongsa	Tongsa	1337294
BTN	BT.24	Trashi Yangste	Trashi Yangste	7303653
BTN	BT.19	Trashigang District	Trashigang District	1337292
BTN	BT.07	Tsirang District	Tsirang District	1337281
BTN	BT.22	Wangdi Phodrang	Wangdi Phodrang	1337295
BTN	BT.18	Zhemgang District	Zhemgang District	1337291
BWA	BW.01	Central	Central	933851
BWA	BW.12	Chobe	Chobe	933840
BWA	BW.13	City of Francistown	City of Francistown	11778168
BWA	BW.14	Gaborone	Gaborone	11778169
BWA	BW.03	Ghanzi	Ghanzi	933758
BWA	BW.15	Jwaneng	Jwaneng	11778170
BWA	BW.04	Kgalagadi	Kgalagadi	933657
BWA	BW.05	Kgatleng	Kgatleng	933654
BWA	BW.06	Kweneng	Kweneng	933562
BWA	BW.16	Lobatse	Lobatse	11778171
BWA	BW.10	Ngwaketsi	Ngwaketsi	933043
BWA	BW.08	North-East	North-East	933210
BWA	BW.11	North-West	North-West	933230
BWA	BW.17	Selibe Phikwe	Selibe Phikwe	11778172
BWA	BW.09	South-East	South-East	933044
BWA	BW.18	Sowa Town	Sowa Town	11778173
CAF	CF.01	Bamingui-Bangoran	Bamingui-Bangoran	240591
CAF	CF.18	Bangui	Bangui	2596686
CAF	CF.02	Basse-Kotto	Basse-Kotto	240396
CAF	CF.05	Haut-Mbomou	Haut-Mbomou	238639
CAF	CF.03	Haute-Kotto	Haute-Kotto	238640
CAF	CF.06	Kémo	Kemo	2385836
CAF	CF.21	Lim-Pendé	Lim-Pende	12902747
CAF	CF.07	Lobaye	Lobaye	2385105
CAF	CF.19	Mambéré	Mambere	12902745
CAF	CF.04	Mambéré-Kadéï	Mambere-Kadei	2386161
CAF	CF.08	Mbomou	Mbomou	237556
CAF	CF.15	Nana-Grébizi	Nana-Grebizi	2386243
CAF	CF.09	Nana-Mambéré	Nana-Mambere	2384205
CAF	CF.17	Ombella-M'Poko	Ombella-M'Poko	2383765
CAF	CF.11	Ouaka	Ouaka	236887
CAF	CF.12	Ouham	Ouham	2383653
CAF	CF.20	Ouham-Fafa	Ouham-Fafa	12902746
CAF	CF.13	Ouham-Pendé	Ouham-Pende	2383650
